"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1WIKN0006","01"," 42.5597"," -87.8566"," 198.7","KENOSHA 1.7 S, WI US","01","99","99","    1.73"," ","E"," 9"
"US1WIKN0006","02"," 42.5597"," -87.8566"," 198.7","KENOSHA 1.7 S, WI US","02","99","99","    1.92"," ","E","10"
"US1WIKN0006","03"," 42.5597"," -87.8566"," 198.7","KENOSHA 1.7 S, WI US","03","99","99","    2.30"," ","E","10"
"US1WIKN0006","04"," 42.5597"," -87.8566"," 198.7","KENOSHA 1.7 S, WI US","04","99","99","    3.78"," ","E","10"
"US1WIKN0006","05"," 42.5597"," -87.8566"," 198.7","KENOSHA 1.7 S, WI US","05","99","99","    4.08"," ","E","11"
"US1WIKN0006","06"," 42.5597"," -87.8566"," 198.7","KENOSHA 1.7 S, WI US","06","99","99","    4.26"," ","E","11"
"US1WIKN0006","07"," 42.5597"," -87.8566"," 198.7","KENOSHA 1.7 S, WI US","07","99","99","    3.48"," ","E","11"
"US1WIKN0006","08"," 42.5597"," -87.8566"," 198.7","KENOSHA 1.7 S, WI US","08","99","99","    3.64"," ","E","11"
"US1WIKN0006","09"," 42.5597"," -87.8566"," 198.7","KENOSHA 1.7 S, WI US","09","99","99","    3.49"," ","E","11"
"US1WIKN0006","10"," 42.5597"," -87.8566"," 198.7","KENOSHA 1.7 S, WI US","10","99","99","    3.29"," ","E","11"
"US1WIKN0006","11"," 42.5597"," -87.8566"," 198.7","KENOSHA 1.7 S, WI US","11","99","99","    2.32"," ","E","11"
"US1WIKN0006","12"," 42.5597"," -87.8566"," 198.7","KENOSHA 1.7 S, WI US","12","99","99","    1.88"," ","E","11"
