"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1WYNT0004","01"," 42.7893","-106.5353","1616.0","CASPER 10.9 WSW, WY US","01","99","99","    0.79"," ","E","10"
"US1WYNT0004","02"," 42.7893","-106.5353","1616.0","CASPER 10.9 WSW, WY US","02","99","99","    1.30"," ","E"," 6"
"US1WYNT0004","03"," 42.7893","-106.5353","1616.0","CASPER 10.9 WSW, WY US","03","99","99","    1.64"," ","E"," 9"
"US1WYNT0004","04"," 42.7893","-106.5353","1616.0","CASPER 10.9 WSW, WY US","04","99","99","    2.21"," ","E"," 9"
"US1WYNT0004","05"," 42.7893","-106.5353","1616.0","CASPER 10.9 WSW, WY US","05","99","99","    2.51"," ","E"," 7"
"US1WYNT0004","06"," 42.7893","-106.5353","1616.0","CASPER 10.9 WSW, WY US","06","99","99","    1.37"," ","E"," 7"
"US1WYNT0004","07"," 42.7893","-106.5353","1616.0","CASPER 10.9 WSW, WY US","07","99","99","    1.12"," ","E"," 8"
"US1WYNT0004","08"," 42.7893","-106.5353","1616.0","CASPER 10.9 WSW, WY US","08","99","99","    1.04"," ","E","10"
"US1WYNT0004","09"," 42.7893","-106.5353","1616.0","CASPER 10.9 WSW, WY US","09","99","99","    1.05"," ","E"," 8"
"US1WYNT0004","10"," 42.7893","-106.5353","1616.0","CASPER 10.9 WSW, WY US","10","99","99","    1.60"," ","E","12"
"US1WYNT0004","11"," 42.7893","-106.5353","1616.0","CASPER 10.9 WSW, WY US","11","99","99","    0.86"," ","E","11"
"US1WYNT0004","12"," 42.7893","-106.5353","1616.0","CASPER 10.9 WSW, WY US","12","99","99","    1.12"," ","E"," 5"
