"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL","MLY-SNOW-NORMAL","meas_flag_MLY-SNOW-NORMAL","comp_flag_MLY-SNOW-NORMAL","years_MLY-SNOW-NORMAL","MLY-SNOW-AVGNDS-GE001TI","meas_flag_MLY-SNOW-AVGNDS-GE001TI","comp_flag_MLY-SNOW-AVGNDS-GE001TI","years_MLY-SNOW-AVGNDS-GE001TI","MLY-SNOW-AVGNDS-GE010TI","meas_flag_MLY-SNOW-AVGNDS-GE010TI","comp_flag_MLY-SNOW-AVGNDS-GE010TI","years_MLY-SNOW-AVGNDS-GE010TI","MLY-SNOW-AVGNDS-GE020TI","meas_flag_MLY-SNOW-AVGNDS-GE020TI","comp_flag_MLY-SNOW-AVGNDS-GE020TI","years_MLY-SNOW-AVGNDS-GE020TI","MLY-SNOW-AVGNDS-GE030TI","meas_flag_MLY-SNOW-AVGNDS-GE030TI","comp_flag_MLY-SNOW-AVGNDS-GE030TI","years_MLY-SNOW-AVGNDS-GE030TI","MLY-SNOW-AVGNDS-GE040TI","meas_flag_MLY-SNOW-AVGNDS-GE040TI","comp_flag_MLY-SNOW-AVGNDS-GE040TI","years_MLY-SNOW-AVGNDS-GE040TI","MLY-SNOW-AVGNDS-GE050TI","meas_flag_MLY-SNOW-AVGNDS-GE050TI","comp_flag_MLY-SNOW-AVGNDS-GE050TI","years_MLY-SNOW-AVGNDS-GE050TI","MLY-SNOW-AVGNDS-GE100TI","meas_flag_MLY-SNOW-AVGNDS-GE100TI","comp_flag_MLY-SNOW-AVGNDS-GE100TI","years_MLY-SNOW-AVGNDS-GE100TI","MLY-SNOW-AVGNDS-GE200TI","meas_flag_MLY-SNOW-AVGNDS-GE200TI","comp_flag_MLY-SNOW-AVGNDS-GE200TI","years_MLY-SNOW-AVGNDS-GE200TI","MLY-SNOW-25PCTL","meas_flag_MLY-SNOW-25PCTL","comp_flag_MLY-SNOW-25PCTL","years_MLY-SNOW-25PCTL","MLY-SNOW-50PCTL","meas_flag_MLY-SNOW-50PCTL","comp_flag_MLY-SNOW-50PCTL","years_MLY-SNOW-50PCTL","MLY-SNOW-75PCTL","meas_flag_MLY-SNOW-75PCTL","comp_flag_MLY-SNOW-75PCTL","years_MLY-SNOW-75PCTL","MLY-SNOW-20PCTL","meas_flag_MLY-SNOW-20PCTL","comp_flag_MLY-SNOW-20PCTL","years_MLY-SNOW-20PCTL","MLY-SNOW-40PCTL","meas_flag_MLY-SNOW-40PCTL","comp_flag_MLY-SNOW-40PCTL","years_MLY-SNOW-40PCTL","MLY-SNOW-60PCTL","meas_flag_MLY-SNOW-60PCTL","comp_flag_MLY-SNOW-60PCTL","years_MLY-SNOW-60PCTL","MLY-SNOW-80PCTL","meas_flag_MLY-SNOW-80PCTL","comp_flag_MLY-SNOW-80PCTL","years_MLY-SNOW-80PCTL","MLY-SNOW-33PCTL","meas_flag_MLY-SNOW-33PCTL","comp_flag_MLY-SNOW-33PCTL","years_MLY-SNOW-33PCTL","MLY-SNOW-67PCTL","meas_flag_MLY-SNOW-67PCTL","comp_flag_MLY-SNOW-67PCTL","years_MLY-SNOW-67PCTL","MLY-SNWD-AVGNDS-GE001WI","meas_flag_MLY-SNWD-AVGNDS-GE001WI","comp_flag_MLY-SNWD-AVGNDS-GE001WI","years_MLY-SNWD-AVGNDS-GE001WI","MLY-SNWD-AVGNDS-GE002WI","meas_flag_MLY-SNWD-AVGNDS-GE002WI","comp_flag_MLY-SNWD-AVGNDS-GE002WI","years_MLY-SNWD-AVGNDS-GE002WI","MLY-SNWD-AVGNDS-GE003WI","meas_flag_MLY-SNWD-AVGNDS-GE003WI","comp_flag_MLY-SNWD-AVGNDS-GE003WI","years_MLY-SNWD-AVGNDS-GE003WI","MLY-SNWD-AVGNDS-GE004WI","meas_flag_MLY-SNWD-AVGNDS-GE004WI","comp_flag_MLY-SNWD-AVGNDS-GE004WI","years_MLY-SNWD-AVGNDS-GE004WI","MLY-SNWD-AVGNDS-GE005WI","meas_flag_MLY-SNWD-AVGNDS-GE005WI","comp_flag_MLY-SNWD-AVGNDS-GE005WI","years_MLY-SNWD-AVGNDS-GE005WI","MLY-SNWD-AVGNDS-GE010WI","meas_flag_MLY-SNWD-AVGNDS-GE010WI","comp_flag_MLY-SNWD-AVGNDS-GE010WI","years_MLY-SNWD-AVGNDS-GE010WI","MLY-SNWD-AVGNDS-GE020WI","meas_flag_MLY-SNWD-AVGNDS-GE020WI","comp_flag_MLY-SNWD-AVGNDS-GE020WI","years_MLY-SNWD-AVGNDS-GE020WI"
"US1WYNT0024","01"," 42.8167","-106.4108","1570.0","CASPER 4.3 WSW, WY US","01","99","99","    0.76"," ","R","13","     7.2"," ","P","13","     2.8"," ","P","13","     0.9"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.41"," ","R","13","    0.78"," ","R","13","    1.07"," ","R","13","    0.31"," ","R","13","    0.62"," ","R","13","    0.88"," ","R","13","    1.08"," ","R","13","    0.57"," ","R","13","    1.03"," ","R","13","    11.1"," ","P","13","     7.0"," ","P","13","     3.4"," ","P","13","     2.0"," ","P","13","     1.2"," ","P","13","     0.7"," ","P","13","     0.3"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     4.8"," ","P","13","    12.1"," ","P","13","    14.1"," ","P","13","     4.1"," ","P","13","     9.2"," ","P","13","    12.8"," ","P","13","    16.5"," ","P","13","     7.3"," ","P","13","    13.2"," ","P","13","    21.6"," ","P","13","    13.6"," ","P","13","    11.7"," ","P","13","     8.6"," ","P","13","     5.5"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13"
"US1WYNT0024","02"," 42.8167","-106.4108","1570.0","CASPER 4.3 WSW, WY US","02","99","99","    0.89"," ","R","13","     8.2"," ","P","13","     3.2"," ","P","13","     1.3"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.68"," ","R","13","    0.83"," ","R","13","    1.07"," ","R","13","    0.67"," ","R","13","    0.78"," ","R","13","    0.87"," ","R","13","    1.08"," ","R","13","    0.70"," ","R","13","    1.01"," ","R","13","    14.6"," ","P","11","     8.0"," ","P","13","     4.3"," ","P","13","     2.5"," ","P","13","     1.6"," ","P","13","     0.9"," ","P","13","     0.8"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","    12.3"," ","P","11","    14.3"," ","P","11","    15.7"," ","P","11","    11.9"," ","P","11","    13.0"," ","P","11","    14.4"," ","P","11","    16.9"," ","P","11","    12.8"," ","P","11","    14.5"," ","P","11","    17.2"," ","P","13","     9.7"," ","P","13","     8.3"," ","P","13","     6.5"," ","P","13","     4.7"," ","P","13","     1.1"," ","P","13","     0.0"," ","P","13"
"US1WYNT0024","03"," 42.8167","-106.4108","1570.0","CASPER 4.3 WSW, WY US","03","99","99","    1.78"," ","R","13","     8.2"," ","P","13","     4.2"," ","P","13","     2.0"," ","P","13","     0.9"," ","P","13","     0.3"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    1.21"," ","R","13","    1.55"," ","R","13","    2.30"," ","R","13","    1.10"," ","R","13","    1.39"," ","R","13","    1.86"," ","R","13","    2.40"," ","R","13","    1.28"," ","R","13","    1.90"," ","R","13","    12.3"," ","P","12","     5.9"," ","P","13","     3.2"," ","P","13","     2.1"," ","P","13","     1.4"," ","P","13","     1.1"," ","P","13","     0.7"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     8.4"," ","P","12","    10.5"," ","P","12","    17.2"," ","P","12","     5.7"," ","P","12","     9.9"," ","P","12","    12.8"," ","P","12","    19.9"," ","P","12","     9.8"," ","P","12","    14.7"," ","P","12","     8.9"," ","P","13","     5.3"," ","P","13","     4.8"," ","P","13","     3.4"," ","P","13","     2.3"," ","P","13","     0.4"," ","P","13","     0.0"," ","P","13"
"US1WYNT0024","04"," 42.8167","-106.4108","1570.0","CASPER 4.3 WSW, WY US","04","99","99","    2.04"," ","R","12","    11.6"," ","P","13","     6.5"," ","P","13","     3.6"," ","P","13","     1.0"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    1.48"," ","R","12","    1.83"," ","R","12","    2.40"," ","R","12","    1.36"," ","R","12","    1.65"," ","R","12","    1.99"," ","R","12","    2.43"," ","R","12","    1.62"," ","R","12","    2.25"," ","R","12","    10.7"," ","P","12","     5.8"," ","P","13","     3.3"," ","P","13","     2.3"," ","P","13","     1.3"," ","P","13","     0.7"," ","P","13","     0.4"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     4.1"," ","P","12","     8.6"," ","P","12","    11.7"," ","P","12","     3.7"," ","P","12","     7.0"," ","P","12","    10.3"," ","P","12","    12.1"," ","P","12","     5.5"," ","P","12","    11.3"," ","P","12","     5.3"," ","P","12","     3.3"," ","P","12","     2.6"," ","P","12","     1.8"," ","P","12","     1.2"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12"
"US1WYNT0024","05"," 42.8167","-106.4108","1570.0","CASPER 4.3 WSW, WY US","05","99","99","    2.64"," ","R","14","    12.6"," ","P","14","     7.7"," ","P","14","     4.4"," ","P","14","     1.9"," ","P","14","     0.3"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    1.29"," ","R","14","    2.49"," ","R","14","    3.52"," ","R","14","    1.21"," ","R","14","    1.96"," ","R","14","    2.86"," ","R","14","    3.93"," ","R","14","    1.60"," ","R","14","    3.18"," ","R","14","     3.0"," ","P","14","     1.4"," ","P","14","     1.0"," ","P","14","     0.6"," ","P","14","     0.3"," ","P","14","     0.3"," ","P","14","     0.2"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     1.3"," ","P","14","     5.5"," ","P","14","     0.0"," ","P","14","     0.7"," ","P","14","     2.3"," ","P","14","     6.3"," ","P","14","     0.2"," ","P","14","     4.4"," ","P","14","     1.4"," ","P","14","     0.8"," ","P","14","     0.6"," ","P","14","     0.4"," ","P","14","     0.2"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14"
"US1WYNT0024","06"," 42.8167","-106.4108","1570.0","CASPER 4.3 WSW, WY US","06","99","99","    1.82"," ","R","14","     8.5"," ","P","14","     3.9"," ","P","14","     1.9"," ","P","14","     0.9"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.94"," ","R","14","    1.47"," ","R","14","    2.13"," ","R","14","    0.68"," ","R","14","    1.25"," ","R","14","    1.74"," ","R","14","    2.86"," ","R","14","    1.02"," ","R","14","    1.91"," ","R","14","     0.0"," ","P","13","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13"
"US1WYNT0024","07"," 42.8167","-106.4108","1570.0","CASPER 4.3 WSW, WY US","07","99","99","    1.00"," ","R","12","     7.8"," ","P","13","     2.8"," ","P","13","     0.9"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.48"," ","R","12","    0.81"," ","R","12","    1.43"," ","R","12","    0.40"," ","R","12","    0.74"," ","R","12","    0.89"," ","R","12","    1.56"," ","R","12","    0.51"," ","R","12","    1.03"," ","R","12","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12"
"US1WYNT0024","08"," 42.8167","-106.4108","1570.0","CASPER 4.3 WSW, WY US","08","99","99","    1.03"," ","R","14","     6.3"," ","P","14","     2.2"," ","P","14","     1.0"," ","P","14","     0.4"," ","P","14","     0.1"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.50"," ","R","14","    0.89"," ","R","14","    1.38"," ","R","14","    0.41"," ","R","14","    0.80"," ","R","14","    0.99"," ","R","14","    1.49"," ","R","14","    0.69"," ","R","14","    1.13"," ","R","14","     0.0"," ","P","13","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13"
"US1WYNT0024","09"," 42.8167","-106.4108","1570.0","CASPER 4.3 WSW, WY US","09","99","99","    1.13"," ","R","14","     6.0"," ","P","14","     3.0"," ","P","14","     1.1"," ","P","14","     0.4"," ","P","14","     0.2"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    0.80"," ","R","14","    1.06"," ","R","14","    1.39"," ","R","14","    0.75"," ","R","14","    1.02"," ","R","14","    1.23"," ","R","14","    1.43"," ","R","14","    0.85"," ","R","14","    1.32"," ","R","14","     0.4"," ","P","11","     0.1"," ","P","14","     0.1"," ","P","14","     0.1"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.2"," ","P","12","     0.2"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12"
"US1WYNT0024","10"," 42.8167","-106.4108","1570.0","CASPER 4.3 WSW, WY US","10","99","99","    1.39"," ","R","13","     8.2"," ","P","13","     3.8"," ","P","13","     1.9"," ","P","13","     0.9"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.72"," ","R","13","    1.22"," ","R","13","    1.99"," ","R","13","    0.61"," ","R","13","    0.99"," ","R","13","    1.86"," ","R","13","    2.22"," ","R","13","    0.81"," ","R","13","    1.95"," ","R","13","     5.9"," ","P","11","     2.7"," ","P","13","     1.6"," ","P","13","     1.1"," ","P","13","     0.9"," ","P","13","     0.6"," ","P","13","     0.3"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     1.1"," ","P","11","     5.2"," ","P","11","     8.0"," ","P","11","     0.0"," ","P","11","     4.4"," ","P","11","     6.7"," ","P","11","     8.4"," ","P","11","     3.0"," ","P","11","     7.3"," ","P","11","     2.7"," ","P","12","     1.9"," ","P","12","     1.9"," ","P","12","     1.5"," ","P","12","     0.8"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12"
