"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"USC00116710","01"," 40.7492"," -89.6203"," 213.4","PEORIA 5NW, IL US","01","99","99","    2.06"," ","R","11","     8.7"," ","P","12","     4.1"," ","P","12","     1.9"," ","P","12","     1.0"," ","P","12","     0.3"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    1.18"," ","R","11","    1.73"," ","R","11","    3.03"," ","R","11","    0.99"," ","R","11","    1.55"," ","R","11","    2.52"," ","R","11","    3.15"," ","R","11","    1.36"," ","R","11","    2.69"," ","R","11"
"USC00116710","02"," 40.7492"," -89.6203"," 213.4","PEORIA 5NW, IL US","02","99","99","    1.88"," ","R","11","     9.8"," ","P","13","     5.8"," ","P","13","     3.0"," ","P","13","     1.2"," ","P","13","     0.5"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    0.92"," ","R","11","    1.60"," ","R","11","    2.64"," ","R","11","    0.79"," ","R","11","    1.49"," ","R","11","    1.73"," ","R","11","    2.75"," ","R","11","    1.25"," ","R","11","    2.07"," ","R","11"
"USC00116710","03"," 40.7492"," -89.6203"," 213.4","PEORIA 5NW, IL US","03","99","99","    2.57"," ","R","12","    11.1"," ","P","13","     6.1"," ","P","13","     3.7"," ","P","13","     1.7"," ","P","13","     0.5"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    1.68"," ","R","12","    2.17"," ","R","12","    3.19"," ","R","12","    1.64"," ","R","12","    1.98"," ","R","12","    2.50"," ","R","12","    3.30"," ","R","12","    1.80"," ","R","12","    3.08"," ","R","12"
"USC00116710","04"," 40.7492"," -89.6203"," 213.4","PEORIA 5NW, IL US","04","99","99","    3.92"," ","R","13","    13.2"," ","P","13","     7.8"," ","P","13","     5.2"," ","P","13","     2.8"," ","P","13","     1.0"," ","P","13","     0.2"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","    2.51"," ","R","13","    3.73"," ","R","13","    4.96"," ","R","13","    2.40"," ","R","13","    2.86"," ","R","13","    4.39"," ","R","13","    5.16"," ","R","13","    2.61"," ","R","13","    4.62"," ","R","13"
"USC00116710","05"," 40.7492"," -89.6203"," 213.4","PEORIA 5NW, IL US","05","99","99","    4.51"," ","R","13","    14.7"," ","P","13","     9.2"," ","P","13","     6.2"," ","P","13","     3.7"," ","P","13","     1.2"," ","P","13","     0.2"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.89"," ","R","13","    4.13"," ","R","13","    5.44"," ","R","13","    2.45"," ","R","13","    3.70"," ","R","13","    4.76"," ","R","13","    6.53"," ","R","13","    3.58"," ","R","13","    4.96"," ","R","13"
"USC00116710","06"," 40.7492"," -89.6203"," 213.4","PEORIA 5NW, IL US","06","99","99","    4.70"," ","R","12","    13.1"," ","P","13","     8.2"," ","P","13","     5.7"," ","P","13","     3.6"," ","P","13","     1.7"," ","P","13","     0.5"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    3.27"," ","R","12","    4.40"," ","R","12","    5.28"," ","R","12","    2.87"," ","R","12","    4.03"," ","R","12","    4.49"," ","R","12","    5.99"," ","R","12","    3.69"," ","R","12","    4.90"," ","R","12"
"USC00116710","07"," 40.7492"," -89.6203"," 213.4","PEORIA 5NW, IL US","07","99","99","    3.76"," ","R","12","    10.3"," ","P","13","     6.6"," ","P","13","     4.2"," ","P","13","     3.1"," ","P","13","     1.3"," ","P","13","     0.1"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    2.39"," ","R","12","    3.17"," ","R","12","    4.15"," ","R","12","    2.34"," ","R","12","    2.70"," ","R","12","    3.92"," ","R","12","    4.83"," ","R","12","    2.53"," ","R","12","    4.03"," ","R","12"
"USC00116710","08"," 40.7492"," -89.6203"," 213.4","PEORIA 5NW, IL US","08","99","99","    3.35"," ","R","12","     9.5"," ","P","13","     5.8"," ","P","13","     3.9"," ","P","13","     2.8"," ","P","13","     0.6"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","     0.0"," ","P","13","    1.98"," ","R","12","    2.82"," ","R","12","    4.49"," ","R","12","    1.82"," ","R","12","    2.31"," ","R","12","    3.54"," ","R","12","    4.76"," ","R","12","    2.18"," ","R","12","    3.95"," ","R","12"
"USC00116710","09"," 40.7492"," -89.6203"," 213.4","PEORIA 5NW, IL US","09","99","99","    4.39"," ","R","13","     9.4"," ","P","13","     5.5"," ","P","13","     4.5"," ","P","13","     3.2"," ","P","13","     1.6"," ","P","13","     0.6"," ","P","13","     0.2"," ","P","13","     0.1"," ","P","13","    2.74"," ","R","13","    4.09"," ","R","13","    4.62"," ","R","13","    2.43"," ","R","13","    3.57"," ","R","13","    4.34"," ","R","13","    5.43"," ","R","13","    3.00"," ","R","13","    4.41"," ","R","13"
"USC00116710","10"," 40.7492"," -89.6203"," 213.4","PEORIA 5NW, IL US","10","99","99","    3.46"," ","R","13","    11.4"," ","P","14","     6.7"," ","P","14","     4.1"," ","P","14","     2.3"," ","P","14","     1.2"," ","P","14","     0.1"," ","P","14","     0.0"," ","P","14","     0.0"," ","P","14","    2.05"," ","R","13","    2.94"," ","R","13","    4.52"," ","R","13","    1.90"," ","R","13","    2.59"," ","R","13","    3.30"," ","R","13","    4.99"," ","R","13","    2.39"," ","R","13","    3.94"," ","R","13"
