"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"USC00253397","01"," 40.9378"," -98.3317"," 565.7","GRAND IS, NE US","01","99","99","    0.60"," ","E"," 8"
"USC00253397","02"," 40.9378"," -98.3317"," 565.7","GRAND IS, NE US","02","99","99","    0.73"," ","E"," 8"
"USC00253397","03"," 40.9378"," -98.3317"," 565.7","GRAND IS, NE US","03","99","99","    1.37"," ","E"," 7"
"USC00253397","04"," 40.9378"," -98.3317"," 565.7","GRAND IS, NE US","04","99","99","    2.91"," ","E"," 6"
"USC00253397","05"," 40.9378"," -98.3317"," 565.7","GRAND IS, NE US","05","99","99","    4.93"," ","E"," 7"
"USC00253397","06"," 40.9378"," -98.3317"," 565.7","GRAND IS, NE US","06","99","99","    4.40"," ","E"," 6"
"USC00253397","07"," 40.9378"," -98.3317"," 565.7","GRAND IS, NE US","07","99","99","    3.91"," ","E"," 7"
"USC00253397","08"," 40.9378"," -98.3317"," 565.7","GRAND IS, NE US","08","99","99","    3.64"," ","E"," 7"
"USC00253397","09"," 40.9378"," -98.3317"," 565.7","GRAND IS, NE US","09","99","99","    2.24"," ","E"," 7"
"USC00253397","10"," 40.9378"," -98.3317"," 565.7","GRAND IS, NE US","10","99","99","    2.23"," ","E"," 6"
"USC00253397","11"," 40.9378"," -98.3317"," 565.7","GRAND IS, NE US","11","99","99","    1.16"," ","E"," 5"
"USC00253397","12"," 40.9378"," -98.3317"," 565.7","GRAND IS, NE US","12","99","99","    0.87"," ","E"," 6"
