"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL","MLY-SNOW-NORMAL","meas_flag_MLY-SNOW-NORMAL","comp_flag_MLY-SNOW-NORMAL","years_MLY-SNOW-NORMAL","MLY-SNOW-AVGNDS-GE001TI","meas_flag_MLY-SNOW-AVGNDS-GE001TI","comp_flag_MLY-SNOW-AVGNDS-GE001TI","years_MLY-SNOW-AVGNDS-GE001TI","MLY-SNOW-AVGNDS-GE010TI","meas_flag_MLY-SNOW-AVGNDS-GE010TI","comp_flag_MLY-SNOW-AVGNDS-GE010TI","years_MLY-SNOW-AVGNDS-GE010TI","MLY-SNOW-AVGNDS-GE020TI","meas_flag_MLY-SNOW-AVGNDS-GE020TI","comp_flag_MLY-SNOW-AVGNDS-GE020TI","years_MLY-SNOW-AVGNDS-GE020TI","MLY-SNOW-AVGNDS-GE030TI","meas_flag_MLY-SNOW-AVGNDS-GE030TI","comp_flag_MLY-SNOW-AVGNDS-GE030TI","years_MLY-SNOW-AVGNDS-GE030TI","MLY-SNOW-AVGNDS-GE040TI","meas_flag_MLY-SNOW-AVGNDS-GE040TI","comp_flag_MLY-SNOW-AVGNDS-GE040TI","years_MLY-SNOW-AVGNDS-GE040TI","MLY-SNOW-AVGNDS-GE050TI","meas_flag_MLY-SNOW-AVGNDS-GE050TI","comp_flag_MLY-SNOW-AVGNDS-GE050TI","years_MLY-SNOW-AVGNDS-GE050TI","MLY-SNOW-AVGNDS-GE100TI","meas_flag_MLY-SNOW-AVGNDS-GE100TI","comp_flag_MLY-SNOW-AVGNDS-GE100TI","years_MLY-SNOW-AVGNDS-GE100TI","MLY-SNOW-AVGNDS-GE200TI","meas_flag_MLY-SNOW-AVGNDS-GE200TI","comp_flag_MLY-SNOW-AVGNDS-GE200TI","years_MLY-SNOW-AVGNDS-GE200TI","MLY-SNOW-25PCTL","meas_flag_MLY-SNOW-25PCTL","comp_flag_MLY-SNOW-25PCTL","years_MLY-SNOW-25PCTL","MLY-SNOW-50PCTL","meas_flag_MLY-SNOW-50PCTL","comp_flag_MLY-SNOW-50PCTL","years_MLY-SNOW-50PCTL","MLY-SNOW-75PCTL","meas_flag_MLY-SNOW-75PCTL","comp_flag_MLY-SNOW-75PCTL","years_MLY-SNOW-75PCTL","MLY-SNOW-20PCTL","meas_flag_MLY-SNOW-20PCTL","comp_flag_MLY-SNOW-20PCTL","years_MLY-SNOW-20PCTL","MLY-SNOW-40PCTL","meas_flag_MLY-SNOW-40PCTL","comp_flag_MLY-SNOW-40PCTL","years_MLY-SNOW-40PCTL","MLY-SNOW-60PCTL","meas_flag_MLY-SNOW-60PCTL","comp_flag_MLY-SNOW-60PCTL","years_MLY-SNOW-60PCTL","MLY-SNOW-80PCTL","meas_flag_MLY-SNOW-80PCTL","comp_flag_MLY-SNOW-80PCTL","years_MLY-SNOW-80PCTL","MLY-SNOW-33PCTL","meas_flag_MLY-SNOW-33PCTL","comp_flag_MLY-SNOW-33PCTL","years_MLY-SNOW-33PCTL","MLY-SNOW-67PCTL","meas_flag_MLY-SNOW-67PCTL","comp_flag_MLY-SNOW-67PCTL","years_MLY-SNOW-67PCTL","MLY-SNWD-AVGNDS-GE001WI","meas_flag_MLY-SNWD-AVGNDS-GE001WI","comp_flag_MLY-SNWD-AVGNDS-GE001WI","years_MLY-SNWD-AVGNDS-GE001WI","MLY-SNWD-AVGNDS-GE002WI","meas_flag_MLY-SNWD-AVGNDS-GE002WI","comp_flag_MLY-SNWD-AVGNDS-GE002WI","years_MLY-SNWD-AVGNDS-GE002WI","MLY-SNWD-AVGNDS-GE003WI","meas_flag_MLY-SNWD-AVGNDS-GE003WI","comp_flag_MLY-SNWD-AVGNDS-GE003WI","years_MLY-SNWD-AVGNDS-GE003WI","MLY-SNWD-AVGNDS-GE004WI","meas_flag_MLY-SNWD-AVGNDS-GE004WI","comp_flag_MLY-SNWD-AVGNDS-GE004WI","years_MLY-SNWD-AVGNDS-GE004WI","MLY-SNWD-AVGNDS-GE005WI","meas_flag_MLY-SNWD-AVGNDS-GE005WI","comp_flag_MLY-SNWD-AVGNDS-GE005WI","years_MLY-SNWD-AVGNDS-GE005WI","MLY-SNWD-AVGNDS-GE010WI","meas_flag_MLY-SNWD-AVGNDS-GE010WI","comp_flag_MLY-SNWD-AVGNDS-GE010WI","years_MLY-SNWD-AVGNDS-GE010WI","MLY-SNWD-AVGNDS-GE020WI","meas_flag_MLY-SNWD-AVGNDS-GE020WI","comp_flag_MLY-SNWD-AVGNDS-GE020WI","years_MLY-SNWD-AVGNDS-GE020WI"
"USC00300048","01"," 42.6925"," -73.8308","  89.3","ALBANY NWFO UNIV, NY US","01","99","99","    2.52"," ","R","10","    13.6"," ","P","11","     6.0"," ","P","11","     3.4"," ","P","11","     2.3"," ","P","11","     0.3"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    1.71"," ","R","10","    2.21"," ","R","10","    3.36"," ","R","10","    1.55"," ","R","10","    2.08"," ","R","10","    2.32"," ","R","10","    3.52"," ","R","10","    1.99"," ","R","10","    2.83"," ","R","10","    16.5"," ","P","11","    10.2"," ","P","12","     4.3"," ","P","12","     2.4"," ","P","12","     1.8"," ","P","12","     1.3"," ","P","12","     0.9"," ","P","12","     0.3"," ","P","12","     0.0"," ","P","12","     7.7"," ","P","11","    14.0"," ","P","11","    25.8"," ","P","11","     7.6"," ","P","11","    13.3"," ","P","11","    19.4"," ","P","11","    31.1"," ","P","11","     9.7"," ","P","11","    20.1"," ","P","11","    21.1"," ","P","12","    18.8"," ","P","12","    15.1"," ","P","12","    11.8"," ","P","12","     9.5"," ","P","12","     3.8"," ","P","12","     0.2"," ","P","12"
"USC00300048","02"," 42.6925"," -73.8308","  89.3","ALBANY NWFO UNIV, NY US","02","99","99","    2.14"," ","R","11","     9.4"," ","P","12","     4.1"," ","P","12","     2.4"," ","P","12","     1.3"," ","P","12","     0.3"," ","P","12","     0.1"," ","P","12","     0.0"," ","P","12","     0.0"," ","P","12","    1.34"," ","R","11","    1.66"," ","R","11","    2.77"," ","R","11","    1.22"," ","R","11","    1.53"," ","R","11","    1.85"," ","R","11","    2.96"," ","R","11","    1.46"," ","R","11","    2.55"," ","R","11","     9.9"," ","P","11","     7.1"," ","P","12","     2.3"," ","P","12","     1.3"," ","P","12","     0.8"," ","P","12","     0.6"," ","P","12","     0.4"," ","P","12","     0.2"," ","P","12","     0.0"," ","P","12","     3.7"," ","P","11","     8.3"," ","P","11","    14.9"," ","P","11","     3.4"," ","P","11","     7.1"," ","P","11","    12.4"," ","P","11","    15.8"," ","P","11","     5.0"," ","P","11","    13.5"," ","P","11","    16.3"," ","P","12","    14.1"," ","P","12","    12.3"," ","P","12","     9.9"," ","P","12","     8.7"," ","P","12","     2.1"," ","P","12","     0.0"," ","P","12"
"USC00300048","03"," 42.6925"," -73.8308","  89.3","ALBANY NWFO UNIV, NY US","03","99","99","    3.46"," ","R","11","    12.3"," ","P","11","     6.9"," ","P","11","     4.4"," ","P","11","     2.7"," ","P","11","     0.6"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.24"," ","R","11","    3.50"," ","R","11","    4.43"," ","R","11","    2.13"," ","R","11","    2.94"," ","R","11","    3.92"," ","R","11","    4.63"," ","R","11","    2.53"," ","R","11","    4.06"," ","R","11","     9.8"," ","P","10","     6.1"," ","P","11","     3.0"," ","P","11","     1.9"," ","P","11","     1.0"," ","P","11","     0.8"," ","P","11","     0.7"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","     4.3"," ","P","10","     7.4"," ","P","10","    14.7"," ","P","10","     3.7"," ","P","10","     5.6"," ","P","10","    11.2"," ","P","10","    14.7"," ","P","10","     5.2"," ","P","10","    14.6"," ","P","10","     9.8"," ","P","11","     8.4"," ","P","11","     7.1"," ","P","11","     5.9"," ","P","11","     5.5"," ","P","11","     0.8"," ","P","11","     0.0"," ","P","11"
"USC00300048","04"," 42.6925"," -73.8308","  89.3","ALBANY NWFO UNIV, NY US","04","99","99","    2.99"," ","R","11","    11.8"," ","P","11","     6.1"," ","P","11","     3.3"," ","P","11","     1.7"," ","P","11","     0.5"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.24"," ","R","11","    2.74"," ","R","11","    3.82"," ","R","11","    1.94"," ","R","11","    2.53"," ","R","11","    3.11"," ","R","11","    4.16"," ","R","11","    2.42"," ","R","11","    3.37"," ","R","11","     2.3"," ","P","11","     1.3"," ","P","11","     0.6"," ","P","11","     0.1"," ","P","11","     0.1"," ","P","11","     0.1"," ","P","11","     0.1"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     3.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.1"," ","P","11","     3.6"," ","P","11","     0.0"," ","P","11","     1.6"," ","P","11","     1.0"," ","P","11","     0.5"," ","P","11","     0.4"," ","P","11","     0.2"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11"
"USC00300048","05"," 42.6925"," -73.8308","  89.3","ALBANY NWFO UNIV, NY US","05","99","99","    3.27"," ","R","11","    13.5"," ","P","11","     8.0"," ","P","11","     4.5"," ","P","11","     2.1"," ","P","11","     0.4"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    1.92"," ","R","11","    3.13"," ","R","11","    4.40"," ","R","11","    1.61"," ","R","11","    2.87"," ","R","11","    3.54"," ","R","11","    4.58"," ","R","11","    2.73"," ","R","11","    3.77"," ","R","11","     0.0"," ","P","10","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11"
"USC00300048","06"," 42.6925"," -73.8308","  89.3","ALBANY NWFO UNIV, NY US","06","99","99","    4.03"," ","R","11","    13.1"," ","P","11","     8.5"," ","P","11","     5.1"," ","P","11","     3.1"," ","P","11","     1.1"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.70"," ","R","11","    3.84"," ","R","11","    4.85"," ","R","11","    2.36"," ","R","11","    3.19"," ","R","11","    4.22"," ","R","11","    5.57"," ","R","11","    2.92"," ","R","11","    4.72"," ","R","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11"
"USC00300048","07"," 42.6925"," -73.8308","  89.3","ALBANY NWFO UNIV, NY US","07","99","99","    4.16"," ","R","11","    12.2"," ","P","11","     7.7"," ","P","11","     4.8"," ","P","11","     2.6"," ","P","11","     1.4"," ","P","11","     0.5"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    3.23"," ","R","11","    3.88"," ","R","11","    5.16"," ","R","11","    2.84"," ","R","11","    3.68"," ","R","11","    4.00"," ","R","11","    5.26"," ","R","11","    3.49"," ","R","11","    4.57"," ","R","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11"
"USC00300048","08"," 42.6925"," -73.8308","  89.3","ALBANY NWFO UNIV, NY US","08","99","99","    3.72"," ","R","11","    10.9"," ","P","11","     6.6"," ","P","11","     4.1"," ","P","11","     2.8"," ","P","11","     1.0"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.39"," ","R","11","    3.55"," ","R","11","    4.48"," ","R","11","    2.29"," ","R","11","    3.19"," ","R","11","    3.92"," ","R","11","    4.75"," ","R","11","    2.83"," ","R","11","    4.12"," ","R","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11"
"USC00300048","09"," 42.6925"," -73.8308","  89.3","ALBANY NWFO UNIV, NY US","09","99","99","    3.60"," ","R","11","     9.0"," ","P","11","     6.0"," ","P","11","     4.6"," ","P","11","     2.7"," ","P","11","     1.1"," ","P","11","     0.1"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","    2.23"," ","R","11","    2.90"," ","R","11","    4.37"," ","R","11","    2.13"," ","R","11","    2.63"," ","R","11","    3.47"," ","R","11","    4.94"," ","R","11","    2.42"," ","R","11","    4.03"," ","R","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11"
"USC00300048","10"," 42.6925"," -73.8308","  89.3","ALBANY NWFO UNIV, NY US","10","99","99","    3.92"," ","R","10","    11.4"," ","P","10","     7.2"," ","P","10","     4.0"," ","P","10","     2.7"," ","P","10","     1.2"," ","P","10","     0.1"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","    2.60"," ","R","10","    3.56"," ","R","10","    4.76"," ","R","10","    2.03"," ","R","10","    3.36"," ","R","10","    4.06"," ","R","10","    5.09"," ","R","10","    3.21"," ","R","10","    4.26"," ","R","10","     0.5"," ","P","10","     0.3"," ","P","10","     0.1"," ","P","10","     0.1"," ","P","10","     0.1"," ","P","10","     0.1"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.1"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.2"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10","     0.0"," ","P","10"
