"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"USS0006G01S","01"," 42.7300","-106.3200","2407.9","Casper Mtn., WY US","01","99","99","    1.72"," ","S","28","     9.2"," ","S","30","     9.2"," ","S","30","     1.8"," ","S","30","     0.6"," ","S","30","     0.1"," ","S","30","     0.0"," ","S","30","     0.0"," ","S","30","     0.0"," ","S","30","    1.05"," ","S","28","    1.64"," ","S","28","    2.20"," ","S","28","    0.80"," ","S","28","    1.35"," ","S","28","    1.86"," ","S","28","    2.37"," ","S","28","    1.20"," ","S","28","    2.06"," ","S","28"
"USS0006G01S","02"," 42.7300","-106.3200","2407.9","Casper Mtn., WY US","02","99","99","    2.02"," ","S","29","    10.3"," ","S","30","    10.3"," ","S","30","     2.2"," ","S","30","     0.9"," ","S","30","     0.1"," ","S","30","     0.0"," ","S","30","     0.0"," ","S","30","     0.0"," ","S","30","    1.42"," ","S","29","    1.88"," ","S","29","    2.45"," ","S","29","    1.36"," ","S","29","    1.75"," ","S","29","    2.08"," ","S","29","    3.01"," ","S","29","    1.59"," ","S","29","    2.16"," ","S","29"
"USS0006G01S","03"," 42.7300","-106.3200","2407.9","Casper Mtn., WY US","03","99","99","    2.62"," ","S","28","    11.4"," ","S","30","    11.4"," ","S","30","     2.6"," ","S","30","     1.4"," ","S","30","     0.3"," ","S","30","     0.0","X","S","30","     0.0"," ","S","30","     0.0"," ","S","30","    1.79"," ","S","28","    2.44"," ","S","28","    3.21"," ","S","28","    1.65"," ","S","28","    2.11"," ","S","28","    2.71"," ","S","28","    3.30"," ","S","28","    2.02"," ","S","28","    2.99"," ","S","28"
"USS0006G01S","04"," 42.7300","-106.3200","2407.9","Casper Mtn., WY US","04","99","99","    3.89"," ","S","28","    13.3"," ","S","30","    13.3"," ","S","30","     4.6"," ","S","30","     2.1"," ","S","30","     0.4"," ","S","30","     0.1"," ","S","30","     0.0"," ","S","30","     0.0"," ","S","30","    2.71"," ","S","28","    3.59"," ","S","28","    4.56"," ","S","28","    2.46"," ","S","28","    3.16"," ","S","28","    3.83"," ","S","28","    4.77"," ","S","28","    3.00"," ","S","28","    4.12"," ","S","28"
"USS0006G01S","05"," 42.7300","-106.3200","2407.9","Casper Mtn., WY US","05","99","99","    4.16"," ","S","28","    12.5"," ","S","30","    12.5"," ","S","30","     4.8"," ","S","30","     2.5"," ","S","30","     0.9"," ","S","30","     0.2"," ","S","30","     0.0","X","S","30","     0.0"," ","S","30","    2.22"," ","S","28","    3.72"," ","S","28","    4.44"," ","S","28","    2.17"," ","S","28","    3.27"," ","S","28","    4.03"," ","S","28","    4.74"," ","S","28","    2.86"," ","S","28","    4.15"," ","S","28"
"USS0006G01S","06"," 42.7300","-106.3200","2407.9","Casper Mtn., WY US","06","99","99","    1.99"," ","S","30","     7.8"," ","S","30","     7.8"," ","S","30","     1.9"," ","S","30","     0.8"," ","S","30","     0.4"," ","S","30","     0.0","X","S","30","     0.0"," ","S","30","     0.0"," ","S","30","    0.70"," ","S","30","    1.55"," ","S","30","    3.37"," ","S","30","    0.48"," ","S","30","    0.90"," ","S","30","    2.29"," ","S","30","    3.73"," ","S","30","    0.79"," ","S","30","    3.03"," ","S","30"
"USS0006G01S","07"," 42.7300","-106.3200","2407.9","Casper Mtn., WY US","07","99","99","    0.93"," ","S","29","     4.2"," ","S","29","     4.2"," ","S","29","     1.3"," ","S","29","     0.5"," ","S","29","     0.0","X","S","29","     0.0"," ","S","29","     0.0"," ","S","29","     0.0"," ","S","29","    0.39"," ","S","29","    0.60"," ","S","29","    1.10"," ","S","29","    0.37"," ","S","29","    0.52"," ","S","29","    0.78"," ","S","29","    1.38"," ","S","29","    0.50"," ","S","29","    0.93"," ","S","29"
"USS0006G01S","08"," 42.7300","-106.3200","2407.9","Casper Mtn., WY US","08","99","99","    0.86"," ","S","30","     4.8"," ","S","30","     4.8"," ","S","30","     0.7"," ","S","30","     0.3"," ","S","30","     0.0","X","S","30","     0.0"," ","S","30","     0.0"," ","S","30","     0.0"," ","S","30","    0.39"," ","S","30","    0.75"," ","S","30","    1.35"," ","S","30","    0.37"," ","S","30","    0.56"," ","S","30","    0.94"," ","S","30","    1.42"," ","S","30","    0.50"," ","S","30","    1.03"," ","S","30"
"USS0006G01S","09"," 42.7300","-106.3200","2407.9","Casper Mtn., WY US","09","99","99","    1.72"," ","S","29","     6.7"," ","S","30","     6.7"," ","S","30","     1.8"," ","S","30","     0.9"," ","S","30","     0.1"," ","S","30","     0.1"," ","S","30","     0.0"," ","S","30","     0.0"," ","S","30","    0.79"," ","S","29","    1.80"," ","S","29","    2.47"," ","S","29","    0.66"," ","S","29","    1.29"," ","S","29","    2.10"," ","S","29","    2.62"," ","S","29","    1.00"," ","S","29","    2.26"," ","S","29"
"USS0006G01S","10"," 42.7300","-106.3200","2407.9","Casper Mtn., WY US","10","99","99","    2.71"," ","S","30","     9.8"," ","S","30","     9.8"," ","S","30","     2.7"," ","S","30","     1.3"," ","S","30","     0.5"," ","S","30","     0.1"," ","S","30","     0.0"," ","S","30","     0.0"," ","S","30","    1.29"," ","S","30","    2.14"," ","S","30","    3.64"," ","S","30","    1.27"," ","S","30","    1.61"," ","S","30","    2.91"," ","S","30","    3.73"," ","S","30","    1.39"," ","S","30","    3.23"," ","S","30"
"USS0006G01S","11"," 42.7300","-106.3200","2407.9","Casper Mtn., WY US","11","99","99","    1.93"," ","S","28","     9.5"," ","S","30","     9.5"," ","S","30","     2.1"," ","S","30","     0.7"," ","S","30","     0.1"," ","S","30","     0.0"," ","S","30","     0.0"," ","S","30","     0.0"," ","S","30","    1.01"," ","S","28","    1.84"," ","S","28","    2.69"," ","S","28","    0.97"," ","S","28","    1.43"," ","S","28","    2.09"," ","S","28","    2.81"," ","S","28","    1.16"," ","S","28","    2.43"," ","S","28"
"USS0006G01S","12"," 42.7300","-106.3200","2407.9","Casper Mtn., WY US","12","99","99","    2.02"," ","S","28","    11.1"," ","S","30","    11.1"," ","S","30","     1.8"," ","S","30","     0.6"," ","S","30","     0.0","X","S","30","     0.0"," ","S","30","     0.0"," ","S","30","     0.0"," ","S","30","    1.72"," ","S","28","    2.09"," ","S","28","    2.47"," ","S","28","    1.48"," ","S","28","    1.96"," ","S","28","    2.19"," ","S","28","    2.59"," ","S","28","    1.85"," ","S","28","    2.22"," ","S","28"
