"Company","ATS","Title","Field","Team","Location","Region","Employment","PayMin","PayMax","PayInterval","Education","URL","DefenseRelevance","DefenseSignal"
"SpaceX","Greenhouse","AI Engineer, Special Programs - Top Secret Clearance","Starshield AI Engineering","","Palo Alto, CA","US (CONUS)","","","","","","https://boards.greenhouse.io/spacex/jobs/8557073002?gh_jid=8557073002","cleared","top secret"
"SpaceX","Greenhouse","AI Engineer, Special Programs - Top Secret Clearance","Starshield AI Engineering","","Washington, DC","US (CONUS)","","","","","","https://boards.greenhouse.io/spacex/jobs/8557219002?gh_jid=8557219002","cleared","top secret"
"SpaceX","Greenhouse","Antenna Engineer (Starship) ","Starship Electronics","","Hawthorne, CA","US (CONUS)","","","","","","https://boards.greenhouse.io/spacex/jobs/8533338002?gh_jid=8533338002","cleared","active clearance"
"SpaceX","Greenhouse","Avionics Integration & Test Engineer (Starshield)","Starshield Production","","Hawthorne, CA","US (CONUS)","","","","","","https://boards.greenhouse.io/spacex/jobs/8625626002?gh_jid=8625626002","cleared","top secret"
"SpaceX","Greenhouse","Avionics Test Engineer (Starshield)","Components Test - Starshield","","Hawthorne, CA","US (CONUS)","","","","","","https://boards.greenhouse.io/spacex/jobs/8501166002?gh_jid=8501166002","cleared","top secret"
"SpaceX","Greenhouse","Certified Welding Inspector, NDE (Launch)","Launch NDE - East","","Cape Canaveral, FL","US (CONUS)","","","","","","https://boards.greenhouse.io/spacex/jobs/8470464002?gh_jid=8470464002","gov_customer","dod"
"SpaceX","Greenhouse","Classified Cyber Assurance Analyst","Government Security Programs","","Hawthorne, CA","US (CONUS)","","","","","","https://boards.greenhouse.io/spacex/jobs/8594579002?gh_jid=8594579002","cleared","top secret"
"SpaceX","Greenhouse","Communications Security Account Manager ","Government Security Programs","","Hawthorne, CA","US (CONUS)","","","","","","https://boards.greenhouse.io/spacex/jobs/8622739002?gh_jid=8622739002","cleared","top secret"
"SpaceX","Greenhouse","COMSEC Account Manager ","Government Security Programs","","Hawthorne, CA","US (CONUS)","","","","","","https://boards.greenhouse.io/spacex/jobs/8622731002?gh_jid=8622731002","cleared","top secret"
"SpaceX","Greenhouse","COMSEC Analyst ","Government Security Programs","","Hawthorne, CA","US (CONUS)","","","","","","https://boards.greenhouse.io/spacex/jobs/8594523002?gh_jid=8594523002","cleared","top secret"
"SpaceX","Greenhouse","COMSEC Responsible Officer","Government Security Programs","","Hawthorne, CA","US (CONUS)","","","","","","https://boards.greenhouse.io/spacex/jobs/8622749002?gh_jid=8622749002","cleared","top secret"
"SpaceX","Greenhouse","Design Criteria Engineer (Starshield)","Starshield Satellite Engineering","","Hawthorne, CA","US (CONUS)","","","","","","https://boards.greenhouse.io/spacex/jobs/8492189002?gh_jid=8492189002","cleared","top secret"
"SpaceX","Greenhouse","Diamond Turning Machinist (Starshield)","Starshield Production","","Hawthorne, CA","US (CONUS)","","","","","","https://boards.greenhouse.io/spacex/jobs/8523980002?gh_jid=8523980002","gov_customer","national security"
