state,MarijuanaStatus,MarijuanaStatusSourceUrl,MarijuanaStatusVerifiedOn
AK,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
AZ,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
CA,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
CO,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
CT,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
DE,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
FL,Medical,https://www.ncsl.org/health/state-medical-cannabis-laws,2026-08-17
HI,Decriminalized,https://www.ncsl.org/civil-and-criminal-justice/cannabis-overview,2026-08-17
IA,Medical,https://www.mpp.org/states/iowa/summary-iowas-medical-cannabidiol-program/,2026-08-17
ID,Illegal,https://www.mpp.org/states/idaho/,2026-08-17
IL,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
KS,Illegal,https://www.ncsl.org/health/state-medical-cannabis-laws,2026-08-17
KY,Medical,https://www.ncsl.org/health/state-medical-cannabis-laws,2026-08-17
MA,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
MD,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
ME,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
MI,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
MN,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
MO,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
MS,Decriminalized,https://www.ncsl.org/civil-and-criminal-justice/cannabis-overview,2026-08-17
MT,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
ND,Decriminalized,https://www.ncsl.org/civil-and-criminal-justice/cannabis-overview,2026-08-17
NE,Decriminalized,https://www.ncsl.org/civil-and-criminal-justice/cannabis-overview,2026-08-17
NJ,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
NM,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
NV,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
NY,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
OH,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
OK,Medical,https://www.ncsl.org/health/state-medical-cannabis-laws,2026-08-17
OR,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
PA,Medical,https://www.ncsl.org/health/state-medical-cannabis-laws,2026-08-17
RI,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
SC,Illegal,https://www.ncsl.org/health/state-medical-cannabis-laws,2026-08-17
SD,Medical,https://www.ncsl.org/health/state-medical-cannabis-laws,2026-08-17
TN,Illegal,https://www.ncsl.org/health/state-medical-cannabis-laws,2026-08-17
UT,Medical,https://www.ncsl.org/health/state-medical-cannabis-laws,2026-08-17
VT,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
WA,Recreational,https://www.mpp.org/issues/legalization/,2026-08-17
WI,Illegal,https://www.ncsl.org/health/state-medical-cannabis-laws,2026-08-17
WV,Medical,https://www.ncsl.org/health/state-medical-cannabis-laws,2026-08-17
