state,RetiredPayTax,ExclusionAmount,ExclusionPct,Condition,SourceUrl,VerifiedOn,Notes
AL,exempt,,,,https://www.revenue.alabama.gov/individual-corporate/income-exempt-from-alabama-income-taxation/,2026-08-11,"Tier P. No cap or condition; exemption in place since 1989."
AK,no_income_tax,,,,https://tax.alaska.gov/programs/whatsnew.aspx,2026-08-11,"Tier P. No state income tax."
AZ,exempt,,,,https://www.azleg.gov/ars/43/01022.htm,2026-08-11,"Tier P (A.R.S. Section 43-1022 para 26). Full exemption since TY2021 (SB1828); prior $3,500 cap repealed."
AR,exempt,,,,https://www.dfa.arkansas.gov/office/taxes/income-tax-administration/individual-income-tax/whats-new/whats-new-for-2018/,2026-08-11,"Tier P. Full exemption since TY2018 (Act 141 of 2017); replaced a $6,000 cap. Some secondary sites still show the outdated cap -- do not use those."
CA,partial,20000,,"Phased out above federal AGI $125,000 single / $250,000 joint; sunsets after TY2030 (SB 132).",https://lao.ca.gov/LAOEconTax/Article/Detail/820,2026-08-11,"Tier S (LAO summary of SB 132, not bill text). First year CA has ever excluded any military retired pay -- previously classified taxed. Phase-out mechanics (cliff vs. gradual) not confirmed from statutory text; re-verify against SB 132 itself before computing off ExclusionAmount."
CO,conditional,,,"Under 55: $15,000/yr cap (TY2022-2028, statutory sunset). 55-64: $20,000/yr via the general pension/annuity subtraction. 65+: $24,000/yr via the same general subtraction. Not a full exemption for any age band.","CO DOR, Income Tax Topics: Military Servicemembers bulletin (Feb 2025)",2026-08-11,"Tier S -- tax.colorado.gov blocked direct fetch; bulletin read via cache/proxy."
CT,exempt,,,,https://www.cga.ct.gov/2025/rpt/pdf/2025-R-0152.pdf,2026-08-11,"Tier S. 100% exemption, no conditions. DRS's own bulletin (IP 92(2)) is stale from 1992; 'since 2015' origin date is less firmly sourced than the current-100% fact."
DE,partial,12500,,"Under 60: $12,500/yr (elects this or the general $2,000 pension exclusion, whichever is greater). 60+: $12,500/yr under the general pension exclusion.",https://delcode.delaware.gov/title30/c011/sc02/index.html,2026-08-11,"Tier P (Del. Code Title 30 Section 1106(b)(3)). A 2024 bill (SB 201) to raise this to $25,000 by TY2026 did NOT pass -- several secondary sources incorrectly show $25,000 as current."
FL,no_income_tax,,,,"FL Const. Art. VII Section 5 (via https://blog.taxact.com/does-florida-have-state-income-tax/ -- floridarevenue.com would not load)",2026-08-11,"Tier S."
GA,conditional,,,"Current (TY2025): under 62 -- $17,500 exclusion, +$17,500 more with >= $17,500 GA earned income (up to $35,000 total); 62-64 -- general $35,000 exclusion; 65+ -- general $65,000 exclusion. HB266 (signed 2025-05-13) replaces this with a flat $65,000/yr exclusion at any age starting TY2026 -- likely already in effect as of this verification date, but dor.georgia.gov had not yet been updated to reflect it.",https://dor.georgia.gov/retirement-income-exclusion,2026-08-11,"Tier S for the HB266 detail (bill text not fetched, corroborated by consistent secondary sources); Tier P for the still-published current-rule figures. Re-verify once DOR's own page updates for HB266 and reclassify to partial ($65,000 flat, any age) at that point."
HI,exempt,,,,https://www.capitol.hawaii.gov/hrscurrent/Vol04_Ch0201-0257/HRS0235/HRS_0235-0007.htm,2026-08-11,"Tier S. Statute (HRS Section 235-7(a)(3)) is a general pension exclusion, applied to military 1099-R pay by DOTAX practice, not military-specific text. DOTAX's own N-11/Tax Facts bulletins weren't fetchable this session -- re-verify against a DOTAX bulletin."
ID,conditional,,,"Must meet at least one of: classified disabled (any age); age 62+; OR under 62 and working with enough income to require a federal return. If eligible, capped at $48,216 single / $72,324 MFJ (TY2025, indexed annually), reduced dollar-for-dollar by any Social Security/Railroad Retirement received. A veteran who fails all three gates gets $0 regardless of amount.",https://tax.idaho.gov/wp-content/uploads/forms/EFO00088/EFO00088_03-02-2026.pdf,2026-08-11,"Tier P (Form 39R Instructions 2025, p.31). Eligibility criteria loosened for TY2025."
IL,exempt,,,,"tax.illinois.gov, IL-1040 instructions (Line 5 general retirement-income subtraction); Publication 102 (fetched directly) confirms active-duty pay only",2026-08-11,"Tier S. Statute is a general retirement-income subtraction, not military-specific; retired-pay treatment inferred from the broader subtraction, not directly fetched from the Line 5 instructions themselves -- re-verify."
IN,exempt,,,,https://www.in.gov/dor/files/ib06.pdf,2026-08-11,"Tier P (DOR Info Bulletin #6). Full exemption since TY2022 (phased in from a $6,250 cap). Space Force/PHS/NOAA retirees added TY2025."
IA,exempt,,,,https://www.legis.iowa.gov/docs/iac/rule/701.302.80.pdf,2026-08-11,"Tier P. Full exemption retroactive to TY2014."
KS,exempt,,,,https://www.ksrevenue.gov/pdf/schs25.pdf,2026-08-11,"Tier P (2025 Schedule S Part A Line A14). Explanatory instructions doc (IA-36) is dated 2004 but the current-year form line is confirmed active."
KY,conditional,,,"Retired before 1/1/1998 with creditable service established before that date: 100% exempt. Retired/served after 12/31/1997: shares Kentucky's general pension exclusion cap ($31,110 for TY2025) with all other pension income, not a military-only cap. Split-era retirees blend via Schedule P.",https://revenue.ky.gov/Individual/Pages/Military-Tax-Issues.aspx,2026-08-11,"Tier P for the $31,110 cap, Tier S for the 1/1/1998 cutoff date (well-attested across secondary tax-prep sources but not confirmed verbatim from Schedule P's own text)."
LA,exempt,,,,https://revenue.louisiana.gov/tax-education-and-faqs/faqs/individual-income-tax/is-there-a-list-of-retirement-system-benefits-that-may-be-excluded-from-louisiana-income-tax/,2026-08-11,"Tier P. No cap/condition, includes SBP."
