state,SsTaxTreatment,ThresholdSingle,ThresholdMarried,MinAge,AgeExemptsFully,SourceUrl,VerifiedOn,Notes
AK,not_taxed,,,,,https://tax.alaska.gov/programs/index.aspx,2026-08-11,No state individual income tax - AS 43.20 individual income tax repealed for tax years after 1978 (AS 43.20.015). No SS taxation possible.
AL,not_taxed,,,,,https://www.revenue.alabama.gov/individual-corporate/income-exempt-from-alabama-income-taxation/,2026-08-11,Official AL DOR page lists federal Social Security benefits as exempt from Alabama income tax.
AR,not_taxed,,,,,https://law.justia.com/codes/arkansas/2017/title-26/subtitle-5/chapter-51/subchapter-4/section-26-51-404-d-1/,2026-08-11,Ark. Code Ann. 26-51-404(b)(6) excludes Social Security benefits from gross income. DFA FAQ 209 PDF would not render for direct verification; statute cited as the primary source instead.
AZ,not_taxed,,,,,https://www.azleg.gov/ars/43/01022.htm,2026-08-11,A.R.S. 43-1022(10) allows subtraction of Social Security/Tier 1 Railroad Retirement from AZ gross income; consistent with AZ DOR Form 140 instructions.
CA,not_taxed,,,,,https://www.ftb.ca.gov/forms/2025/2025-540-ca-instructions.html,2026-08-11,FTB Schedule CA (540) instructions subtract taxable federal Social Security from CA taxable income. Direct fetch of ftb.ca.gov returned 403; confirmed via search-indexed snippet of the same page plus secondary corroboration.
CO,partial,75000,95000,65,true,https://tax.colorado.gov/income-tax-topics-social-security-pensions-and-annuities,2026-08-18,"65+ subtracts all federally taxable Social Security with no AGI limit (tax.colorado.gov, TY2022+). Ages 55-64 get that full SS subtraction only at/below $75k single / $95k joint AGI; above that a $20,000 combined pension/SS cap remains and is not modeled. Under-55 is not a full SS subtraction; the 65+ flag maps under-65 onto the 55-64 threshold path. SB25-136 did not become law. Re-verified 2026-08-18 against the DOR page."
CT,partial,75000,100000,,,https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf,2026-08-11,"CT DRS Informational Publication 2025(7). Single/MFS threshold $75,000; MFJ/HOH/QSS $100,000. Below threshold, 100% exempt. Above threshold, a worksheet caps CT-taxable SS at no more than 25% of the federally taxable benefit - a smooth reduction, not a hard cliff."
DE,not_taxed,,,,,https://revenue.delaware.gov/frequently-asked-questions/personal-income-tax-faqs/,2026-08-11,Social Security and Railroad Retirement benefits are not taxable in Delaware.
FL,not_taxed,,,,,https://floridarevenue.com/Forms_library/current/brochure/gt800025.pdf,2026-08-11,No state individual income tax (state constitution prohibits one).
GA,not_taxed,,,,,https://dor.georgia.gov/retirees-faq,2026-08-11,Taxable Social Security and Railroad Retirement on the Federal return are exempt from Georgia Income Tax.
HI,not_taxed,,,,,https://files.hawaii.gov/tax/news/pubs/25BkltA.pdf,2026-08-11,HI DOTAX 2025 Booklet A: SS and Tier 1 Railroad Retirement exempt (statutory basis HRS 235-7). PDF text would not extract cleanly; confirmed via search-indexed quote of the same booklet.
IA,not_taxed,,,,,https://revenue.iowa.gov/taxes/frequently-asked-questions/individual-income,2026-08-11,"Full exclusion since Iowa Code 422.7 as amended by 2022 HF 2317, effective TY2023+, regardless of age or income."
ID,not_taxed,,,,,https://tax.idaho.gov/wp-content/uploads/forms/EFO00088/EFO00088_03-02-2026.pdf,2026-08-11,"ID Form 39R (2025, rev. 2026-03-02) has a subtraction line for Social Security/railroad benefits included in federal income."
IL,not_taxed,,,,,https://tax.illinois.gov/questionsandanswers/answer.99.html,2026-08-11,IL DOR FAQ: the federally taxed portion of SS is subtracted back out; Illinois taxes none of it.
IN,not_taxed,,,,,https://www.in.gov/dor/i-am-a/individual/deductions/,2026-08-11,Indiana does not tax Social Security and railroad retirement benefits.
