state,RetiredPayTax,SourceURL,VerifiedOn
AL,exempt,https://va.alabama.gov/,2026-08-07
AK,no_income_tax,https://veterans.alaska.gov/benefits/,2026-08-07
AZ,exempt,https://dvs.az.gov/,2026-08-07
AR,exempt,https://www.veterans.arkansas.gov/,2026-08-07
CA,partial,https://www.calvet.ca.gov/VetServices/Pages/State-Benefits.aspx,2026-08-07
CO,partial,https://vets.colorado.gov/,2026-08-07
CT,exempt,https://portal.ct.gov/dva,2026-08-07
DE,partial,https://vets.delaware.gov/veterans-benefits/,2026-08-07
FL,no_income_tax,https://www.floridavets.org/resources/va-benefits-guide/,2026-08-07
GA,conditional,https://veterans.georgia.gov/state-benefits,2026-08-07
HI,exempt,https://dod.hawaii.gov/ovs/benefits-and-services/,2026-08-07
ID,conditional,https://veterans.idaho.gov/benefits-services/state/,2026-08-07
IL,exempt,https://veterans.illinois.gov/services-benefits/benefits.html,2026-08-07
IN,exempt,https://www.in.gov/veterans/living-in-indiana-and-benefits/,2026-08-07
IA,exempt,https://dva.iowa.gov/benefits/state-benefits,2026-08-07
KS,exempt,https://www.kovs.ks.gov/veteran-services/state-veterans-benefits-guide,2026-08-07
KY,partial,https://veterans.ky.gov/Benefits/pages/default.aspx,2026-08-07
LA,exempt,https://vetaffairs.la.gov/benefits/state,2026-08-07
ME,exempt,https://www.maine.gov/veterans/benefits,2026-08-07
MD,exempt,https://veterans.maryland.gov/benefits-services,2026-08-07
MA,exempt,https://www.mass.gov/info-details/guide-to-veterans-laws-and-benefits,2026-08-07
MI,exempt,https://www.michigan.gov/mvaa/quality-of-life/quality-of-life/state-of-michigan-veteran-benefits,2026-08-07
MN,exempt,https://mn.gov/mdva/resources/iamaveteran/,2026-08-07
MS,exempt,https://www.msva.ms.gov/state-benefits,2026-08-07
MO,exempt,https://veteranbenefits.mo.gov/state-benefits/,2026-08-07
MT,conditional,https://veterans.mt.gov/,2026-08-07
NE,exempt,https://veterans.nebraska.gov/benefits-and-services-overview,2026-08-07
NV,no_income_tax,https://veterans.nv.gov/benefits-and-services/,2026-08-07
NH,no_income_tax,https://www.dmavs.nh.gov/veterans-services,2026-08-07
NJ,exempt,https://www.nj.gov/military/veterans/,2026-08-07
NM,partial,https://www.dvs.nm.gov/benefits/,2026-08-07
NY,exempt,https://veterans.ny.gov/,2026-08-07
NC,conditional,https://www.milvets.nc.gov/benefits-services,2026-08-07
ND,exempt,https://www.veterans.nd.gov/benefits-and-services,2026-08-07
OH,partial,https://dvs.ohio.gov/,2026-08-07
OK,partial,https://oklahoma.gov/veterans/benefits.html,2026-08-07
OR,taxed,https://www.oregon.gov/odva/benefits/pages/default.aspx,2026-08-07
PA,exempt,https://www.pa.gov/agencies/dmva/pennsylvania-veterans/pa-vetconnect/state-veterans-programs.html,2026-08-07
RI,exempt,https://vets.ri.gov/,2026-08-07
SC,partial,https://scdva.sc.gov/benefits,2026-08-07
SD,no_income_tax,https://vetaffairs.sd.gov/veteransserviceofficers/benefits.aspx,2026-08-07
TN,no_income_tax,https://www.tn.gov/veteran/veteran-benefits.html,2026-08-07
TX,no_income_tax,https://tvc.texas.gov/benefits/,2026-08-07
UT,taxed,https://veterans.utah.gov/benefits/,2026-08-07
VT,conditional,https://veterans.vermont.gov/benefits,2026-08-07
VA,partial,https://www.dvs.virginia.gov/benefits,2026-08-07
WA,no_income_tax,https://www.dva.wa.gov/veterans-service-members-and-their-families/veterans-benefits,2026-08-07
WV,exempt,https://veterans.wv.gov/Benefits/Pages/default.aspx,2026-08-07
WI,exempt,https://dva.wi.gov/Pages/benefitsClaims/Benefits-and-Claims.aspx,2026-08-07
WY,no_income_tax,https://wyomilitary.wyo.gov/veterans/,2026-08-07
