URL,Title,Company,Region,Location,ATS,Field,Employment,PayMin,PayMax,PayInterval,Education
https://www.usajobs.gov/job/865829900,Contract Specialist,Naval Sea Systems Command,US,"Keyport, Washington",USAJOBS,Contracting (1102) · GS 11-12,Full-time,83935,130786,year,
https://www.usajobs.gov/job/865931600,Contract Specialist,Naval Sea Systems Command,US,"Keyport, Washington",USAJOBS,Contracting (1102) · GS 5-9,Full-time,45785,90190,year,
https://www.usajobs.gov/job/882232400,Human Resources Specialist (ER/LR),Naval Sea Systems Command,US,"Washington Navy Yard, District of Columbia",USAJOBS,Human Resources Management (0201) · NH 3,Full-time,102415,158322,year,
https://www.usajobs.gov/job/881932500,Logistics Management Specialist,Naval Sea Systems Command,US,"Keyport, Washington",USAJOBS,Logistics Management (0346) · GS 13,Full-time,119630,155521,year,
https://www.usajobs.gov/job/882194400,Logistics Management Specialist,Naval Sea Systems Command,US,"Keyport, Washington",USAJOBS,Logistics Management (0346) · GS 12-13,Full-time,100602,155521,year,
https://www.usajobs.gov/job/882725800,Logistics Management Specialist,Naval Sea Systems Command,US,"Washington Navy Yard, District of Columbia",USAJOBS,Logistics Management (0346) · NH 3,Full-time,102415,158322,year,
https://www.usajobs.gov/job/881877600,IT Specialist (INFOSEC),Naval Sea Systems Command,US,"Newport, Rhode Island",USAJOBS,Information Technology Management (2210) · NT 5,Full-time,120548,185193,year,
https://www.usajobs.gov/job/882207600,Security Specialist (Administration),Naval Sea Systems Command,US,"Washington Navy Yard, District of Columbia",USAJOBS,Security Administration (0080) · NH 2,Full-time,46610,111087,year,
https://www.usajobs.gov/job/878874300,Administrative/Technical Specialist,Naval Sea Systems Command,US,"Panama City, Florida",USAJOBS,Contracting (1102) · NT 2-4,Full-time,40736,116362,year,
https://www.usajobs.gov/job/880557900,Administrative/Technical Specialist,Naval Sea Systems Command,US,"Newport, Rhode Island",USAJOBS,Financial Administration (0501) · NT 4,Full-time,84579,131790,year,
https://www.usajobs.gov/job/880911400,Administrative/Technical Specialist,Naval Sea Systems Command,US,"Dahlgren, Virginia",USAJOBS,Financial Administration (0501) · NT 5,Full-time,121785,187093,year,
https://www.usajobs.gov/job/881615300,Administrative/Technical Specialist,Naval Sea Systems Command,US,"Panama City, Florida",USAJOBS,Logistics Management (0346) · NT 2-4,Full-time,40736,116362,year,
https://www.usajobs.gov/job/882031200,Administrative/Technical Specialist,Naval Sea Systems Command,US,"West Palm Beach, Florida",USAJOBS,Management and Program Analysis (0343) · NT 4,Full-time,75233,131790,year,
https://www.usajobs.gov/job/882092800,Administrative/Technical Specialist,Naval Sea Systems Command,US,"Dahlgren, Virginia",USAJOBS,Management and Program Analysis (0343) · NT 5,Full-time,121784,187093,year,
https://www.usajobs.gov/job/882263900,Administrative/Technical Specialist,Naval Sea Systems Command,US,"Crane, Indiana",USAJOBS,Logistics Management (0346) · NT 5,Full-time,106437,163514,year,
https://www.usajobs.gov/job/882519700,Administrative/Technical Specialist,Naval Sea Systems Command,US,"Crane, Indiana",USAJOBS,Miscellaneous Administration (0301) · NT 5,Full-time,106437,163514,year,
https://www.usajobs.gov/job/867989600,Quality Assurance Specialist (Shipbldg),Naval Sea Systems Command,US,"Groton, Connecticut",USAJOBS,Quality Assurance (1910) · GS 5-7,Full-time,45963,74297,year,
https://www.usajobs.gov/job/882621500,Lead Quality Assurance Specialist (Shipbuilding),Naval Sea Systems Command,US,"Bath, Maine",USAJOBS,Quality Assurance (1910) · GS 12,Full-time,101375,131790,year,
https://www.usajobs.gov/job/881040300,Supervisory Administrative/Technical Specialist,Naval Sea Systems Command,US,"White Sands Missile Range, New Mexico",USAJOBS,Security Administration (0080) · NT 5,Full-time,106437,163514,year,
https://www.usajobs.gov/job/881897100,Supervisory Administrative/Technical Specialist,Naval Sea Systems Command,US,"Keyport, Washington",USAJOBS,Logistics Management (0346) · NT 5,Full-time,119630,183782,year,
https://www.usajobs.gov/job/882600400,Supervisory General Business & Industrial Specialist,Naval Sea Systems Command,US,"Bath, Maine",USAJOBS,General Business and Industry (1101) · NH 3,Full-time,101375,156715,year,
